taxon_index,taxon,execution_state,sealed_source_cells,answer_adequate,final_fit_unresolved,outer_fold_rows_incomplete,prediction_performance_below_floor,validation_metric_nonfinite,eligible_pairs
0,Abies amabilis,artifact_available,48,48,0,0,0,0,24
1,Abies grandis,artifact_available,48,45,0,0,1,2,21
2,Abies magnifica,artifact_available,48,48,0,0,0,0,24
3,Abies procera,artifact_available,48,47,0,0,1,0,23
4,Abies sibirica,artifact_available,48,27,0,0,21,0,6
5,Acacia melanoxylon,artifact_available,30,0,18,16,0,14,0
6,Acorus calamus,artifact_available,48,48,0,0,0,0,24
7,Aegiceras corniculatum,artifact_available,28,10,20,12,1,5,4
8,Alisma plantago-aquatica,time_limit_artifact_missing,,,,,,,
9,Ambrosia dumosa,artifact_available,48,8,0,24,0,16,2
10,Artemisia filifolia,artifact_available,48,48,0,0,0,0,24
11,Atriplex confertifolia,artifact_available,48,48,0,0,0,0,24
12,Atriplex lentiformis,artifact_available,28,5,20,16,1,6,0
13,Butomus umbellatus,artifact_available,48,48,0,0,0,0,24
14,Carpinus betulus,artifact_available,48,48,0,0,0,0,24
15,Ceriops tagal,artifact_available,16,12,32,4,0,0,6
16,Chamaecyparis lawsoniana,artifact_available,48,27,0,4,2,15,5
17,Cornus sanguinea,artifact_available,48,37,0,0,7,4,13
18,Ephedra nevadensis,artifact_available,48,48,0,0,0,0,24
19,Eucalyptus baxteri,artifact_available,16,3,32,4,0,9,0
20,Eucalyptus nitens,artifact_available,20,12,28,6,0,2,6
21,Eucalyptus viminalis,artifact_available,36,3,12,10,2,21,0
22,Euonymus europaeus,artifact_available,48,48,0,0,0,0,24
23,Geranium dissectum,artifact_available,48,48,0,0,0,0,24
24,Gutierrezia sarothrae,artifact_available,48,47,0,0,1,0,23
25,Leersia oryzoides,artifact_available,48,48,0,0,0,0,24
26,Ligustrum vulgare,artifact_available,48,48,0,0,0,0,24
27,Lumnitzera racemosa,artifact_available,16,12,32,4,0,0,6
28,Onoclea sensibilis,artifact_available,48,48,0,0,0,0,24
29,Picea obovata,artifact_available,48,48,0,0,0,0,24
30,Pinus flexilis,artifact_available,48,48,0,0,0,0,24
31,Pinus ponderosa,artifact_available,48,48,0,0,0,0,24
32,Pinus sibirica,artifact_available,48,32,0,1,15,0,8
33,Pinus strobus,artifact_available,48,48,0,0,0,0,24
34,Polystichum setiferum,artifact_available,48,26,0,2,2,18,8
35,Populus tremula,time_limit_artifact_missing,,,,,,,
36,Quercus petraea,artifact_available,48,41,0,0,3,4,17
37,Sonneratia alba,artifact_available,12,12,36,0,0,0,6
38,Sparganium erectum,artifact_available,48,36,0,0,0,12,12
39,Tilia cordata,artifact_available,48,48,0,0,0,0,24
40,Tsuga canadensis,artifact_available,48,48,0,0,0,0,24
41,Tsuga mertensiana,artifact_available,48,48,0,0,0,0,24
42,Veronica arvensis,artifact_available,48,48,0,0,0,0,24
43,Viburnum opulus,artifact_available,48,48,0,0,0,0,24
44,Viola arvensis,artifact_available,48,48,0,0,0,0,24
45,Woodwardia fimbriata,artifact_available,48,23,0,0,9,16,6
46,Xylocarpus granatum,artifact_available,12,12,36,0,0,0,6
