M_km,procedure,eligible_taxa_observed,execution_unknown_taxa,eligible_taxa_upper_bound,minimum_required_taxa,bound_state,prediction_opening_authorized
150,all|logit_l2_C0.1_degree1,26,2,28,30,floor_unreachable_even_if_missing_all_pass,False
150,all|logit_l2_C1_degree2,27,2,29,30,floor_unreachable_even_if_missing_all_pass,False
150,vif|logit_l2_C0.1_degree1,29,2,31,30,missing_executions_can_change_floor_decision,False
150,vif|logit_l2_C1_degree2,29,2,31,30,missing_executions_can_change_floor_decision,False
150,predictive_forward|logit_l2_C0.1_degree1,33,2,35,30,observed_floor_met_execution_still_blocked,False
150,predictive_forward|logit_l2_C1_degree2,36,2,38,30,observed_floor_met_execution_still_blocked,False
150,niche_forward|logit_l2_C0.1_degree1,30,2,32,30,observed_floor_met_execution_still_blocked,False
150,niche_forward|logit_l2_C1_degree2,32,2,34,30,observed_floor_met_execution_still_blocked,False
300,all|logit_l2_C0.1_degree1,27,2,29,30,floor_unreachable_even_if_missing_all_pass,False
300,all|logit_l2_C1_degree2,30,2,32,30,observed_floor_met_execution_still_blocked,False
300,vif|logit_l2_C0.1_degree1,27,2,29,30,floor_unreachable_even_if_missing_all_pass,False
300,vif|logit_l2_C1_degree2,28,2,30,30,missing_executions_can_change_floor_decision,False
300,predictive_forward|logit_l2_C0.1_degree1,36,2,38,30,observed_floor_met_execution_still_blocked,False
300,predictive_forward|logit_l2_C1_degree2,36,2,38,30,observed_floor_met_execution_still_blocked,False
300,niche_forward|logit_l2_C0.1_degree1,28,2,30,30,missing_executions_can_change_floor_decision,False
300,niche_forward|logit_l2_C1_degree2,33,2,35,30,observed_floor_met_execution_still_blocked,False
500,all|logit_l2_C0.1_degree1,25,2,27,30,floor_unreachable_even_if_missing_all_pass,False
500,all|logit_l2_C1_degree2,27,2,29,30,floor_unreachable_even_if_missing_all_pass,False
500,vif|logit_l2_C0.1_degree1,28,2,30,30,missing_executions_can_change_floor_decision,False
500,vif|logit_l2_C1_degree2,29,2,31,30,missing_executions_can_change_floor_decision,False
500,predictive_forward|logit_l2_C0.1_degree1,36,2,38,30,observed_floor_met_execution_still_blocked,False
500,predictive_forward|logit_l2_C1_degree2,37,2,39,30,observed_floor_met_execution_still_blocked,False
500,niche_forward|logit_l2_C0.1_degree1,31,2,33,30,observed_floor_met_execution_still_blocked,False
500,niche_forward|logit_l2_C1_degree2,30,2,32,30,observed_floor_met_execution_still_blocked,False
