source_panel,scientific_name
pilot12,Arabidopsis thaliana
pilot12,Quercus robur
pilot12,Pinus sylvestris
pilot12,Phragmites australis
pilot12,Calluna vulgaris
pilot12,Dryopteris filix-mas
pilot12,Larrea tridentata
pilot12,Rhizophora mangle
pilot12,Nothofagus pumilio
pilot12,Eucalyptus pauciflora
pilot12,Picea mariana
pilot12,Typha latifolia
geometry36,Capsella bursa-pastoris
geometry36,Stellaria media
geometry36,Senecio vulgaris
geometry36,Betula pendula
geometry36,Fagus sylvatica
geometry36,Acer pseudoplatanus
geometry36,Picea abies
geometry36,Juniperus communis
geometry36,Abies alba
geometry36,Phalaris arundinacea
geometry36,Glyceria maxima
geometry36,Calamagrostis canadensis
geometry36,Vaccinium myrtillus
geometry36,Ulex europaeus
geometry36,Rubus idaeus
geometry36,Pteridium aquilinum
geometry36,Athyrium filix-femina
geometry36,Polypodium vulgare
geometry36,Artemisia tridentata
geometry36,Atriplex canescens
geometry36,Encelia farinosa
geometry36,Avicennia germinans
geometry36,Avicennia marina
geometry36,Laguncularia racemosa
geometry36,Nothofagus antarctica
geometry36,Nothofagus betuloides
geometry36,Eucalyptus globulus
geometry36,Abies lasiocarpa
geometry36,Pinus cembra
geometry36,Eucalyptus delegatensis
geometry36,Picea glauca
geometry36,Larix laricina
geometry36,Pinus banksiana
geometry36,Typha angustifolia
geometry36,Iris pseudacorus
geometry36,Schoenoplectus tabernaemontani
first_fresh36,Poa annua
first_fresh36,Veronica persica
first_fresh36,Lamium purpureum
first_fresh36,Acer platanoides
first_fresh36,Alnus glutinosa
first_fresh36,Betula pubescens
first_fresh36,Pseudotsuga menziesii
first_fresh36,Picea sitchensis
first_fresh36,Thuja occidentalis
first_fresh36,Agrostis stolonifera
first_fresh36,Alopecurus geniculatus
first_fresh36,Carex rostrata
first_fresh36,Sambucus nigra
first_fresh36,Corylus avellana
first_fresh36,Rosa canina
first_fresh36,Asplenium trichomanes
first_fresh36,Matteuccia struthiopteris
first_fresh36,Polystichum acrostichoides
first_fresh36,Ericameria nauseosa
first_fresh36,Ephedra viridis
first_fresh36,Atriplex polycarpa
first_fresh36,Rhizophora mucronata
first_fresh36,Rhizophora apiculata
first_fresh36,Bruguiera gymnorhiza
first_fresh36,Eucalyptus obliqua
first_fresh36,Eucalyptus regnans
first_fresh36,Nothofagus dombeyi
first_fresh36,Picea engelmannii
first_fresh36,Abies concolor
first_fresh36,Pinus contorta
first_fresh36,Abies balsamea
first_fresh36,Pinus resinosa
first_fresh36,Picea rubens
first_fresh36,Sagittaria latifolia
first_fresh36,Pontederia cordata
first_fresh36,Schoenoplectus acutus
