current_accepted_species,historical_specieskey,key_index,historical_key_count,closure_state
Abies balsamea,63Z6Q,0,1,fresh_snapshot_species_concept_closure_passed
Abies concolor,2685580,0,3,fresh_snapshot_species_concept_closure_passed
Abies concolor,8KBM,1,3,fresh_snapshot_species_concept_closure_passed
Abies concolor,VJVFQ,2,3,fresh_snapshot_species_concept_closure_passed
Acer platanoides,3189846,0,2,fresh_snapshot_species_concept_closure_passed
Acer platanoides,94H3,1,2,fresh_snapshot_species_concept_closure_passed
Alopecurus geniculatus,5290090,0,2,fresh_snapshot_species_concept_closure_passed
Alopecurus geniculatus,C54D,1,2,fresh_snapshot_species_concept_closure_passed
Atriplex polycarpa,JLMK,0,1,fresh_snapshot_species_concept_closure_passed
Bruguiera gymnorhiza,5X536,0,1,fresh_snapshot_species_concept_closure_passed
Corylus avellana,2875979,0,2,fresh_snapshot_species_concept_closure_passed
Corylus avellana,YQ55,1,2,fresh_snapshot_species_concept_closure_passed
Eucalyptus obliqua,3176354,0,2,fresh_snapshot_species_concept_closure_passed
Eucalyptus obliqua,3BQ9P,1,2,fresh_snapshot_species_concept_closure_passed
Eucalyptus regnans,3176566,0,2,fresh_snapshot_species_concept_closure_passed
Eucalyptus regnans,3BQF9,1,2,fresh_snapshot_species_concept_closure_passed
Lamium purpureum,2926682,0,2,fresh_snapshot_species_concept_closure_passed
Lamium purpureum,3S2DF,1,2,fresh_snapshot_species_concept_closure_passed
Matteuccia struthiopteris,2650999,0,2,fresh_snapshot_species_concept_closure_passed
Matteuccia struthiopteris,3YF7H,1,2,fresh_snapshot_species_concept_closure_passed
Nothofagus dombeyi,R8FKD,0,1,fresh_snapshot_species_concept_closure_passed
Picea engelmannii,4HQ2J,0,3,fresh_snapshot_species_concept_closure_passed
Picea engelmannii,5284917,1,3,fresh_snapshot_species_concept_closure_passed
Picea engelmannii,VM3ML,2,3,fresh_snapshot_species_concept_closure_passed
Picea rubens,4HQ4Q,0,1,fresh_snapshot_species_concept_closure_passed
Pinus contorta,4J24Y,0,2,fresh_snapshot_species_concept_closure_passed
Pinus contorta,5285750,1,2,fresh_snapshot_species_concept_closure_passed
Pinus resinosa,4J2G5,0,1,fresh_snapshot_species_concept_closure_passed
Poa annua,2704179,0,2,fresh_snapshot_species_concept_closure_passed
Poa annua,6W3C4,1,2,fresh_snapshot_species_concept_closure_passed
Polystichum acrostichoides,2651098,0,2,fresh_snapshot_species_concept_closure_passed
Polystichum acrostichoides,4LMKM,1,2,fresh_snapshot_species_concept_closure_passed
Pseudotsuga menziesii,2685796,0,2,fresh_snapshot_species_concept_closure_passed
Pseudotsuga menziesii,6WHCL,1,2,fresh_snapshot_species_concept_closure_passed
Rhizophora apiculata,6WV65,0,1,fresh_snapshot_species_concept_closure_passed
Rhizophora mucronata,4SCV7,0,1,fresh_snapshot_species_concept_closure_passed
Sagittaria latifolia,4TYQL,0,2,fresh_snapshot_species_concept_closure_passed
Sagittaria latifolia,5328909,1,2,fresh_snapshot_species_concept_closure_passed
Sambucus nigra,2888728,0,2,fresh_snapshot_species_concept_closure_passed
Sambucus nigra,79HX3,1,2,fresh_snapshot_species_concept_closure_passed
Schoenoplectus acutus,6Y94S,0,1,fresh_snapshot_species_concept_closure_passed
Veronica persica,3172077,0,2,fresh_snapshot_species_concept_closure_passed
Veronica persica,5B777,1,2,fresh_snapshot_species_concept_closure_passed
