control_taxon_id,scientific_name,family,selection_basis,interaction_screen,literature_source,occurrence_availability_inspected
HTR_C01,Euphorbia mauritanica,Euphorbiaceae,cooccurring_nonhost_used_in_host_specific_germination_experiment,no_declared_H_triceps_host_relationship,10.1139/B09-078,false
HTR_C02,Euphorbia gummifera,Euphorbiaceae,cooccurring_nonhost_used_in_host_specific_germination_experiment,no_declared_H_triceps_host_relationship,10.1139/B09-078,false
HTR_C03,Euphorbia gregaria,Euphorbiaceae,alternative_mutually_exclusive_Hydnora_host_in_current_revision,no_declared_H_triceps_host_relationship,10.1007/s12225-024-10193-5,false
HTR_C04,Euphorbia damarana,Euphorbiaceae,alternative_mutually_exclusive_Hydnora_host_in_current_revision,no_declared_H_triceps_host_relationship,10.1007/s12225-024-10193-5,false
HTR_C05,Euphorbia gariepina,Euphorbiaceae,alternative_Hydnora_host_report_in_current_revision,no_declared_H_triceps_host_relationship,10.1007/s12225-024-10193-5,false
HTR_C06,Euphorbia virosa,Euphorbiaceae,alternative_Hydnora_host_report_in_current_revision,no_declared_H_triceps_host_relationship,10.1007/s12225-024-10193-5,false
