scientific_name,resolved_snapshot_specieskey,snapshot_identity_state,selection_rule
Artemisia tridentata,GX2B,snapshot_taxonomy_identity_passed,all_and_only_taxa_passing_frozen_sharded_v7_3_identity_gate
Atriplex canescens,JLB9,snapshot_taxonomy_identity_passed,all_and_only_taxa_passing_frozen_sharded_v7_3_identity_gate
Encelia farinosa,39N69,snapshot_taxonomy_identity_passed,all_and_only_taxa_passing_frozen_sharded_v7_3_identity_gate
Avicennia germinans,K35N,snapshot_taxonomy_identity_passed,all_and_only_taxa_passing_frozen_sharded_v7_3_identity_gate
Avicennia marina,K35T,snapshot_taxonomy_identity_passed,all_and_only_taxa_passing_frozen_sharded_v7_3_identity_gate
Laguncularia racemosa,3RXYC,snapshot_taxonomy_identity_passed,all_and_only_taxa_passing_frozen_sharded_v7_3_identity_gate
Nothofagus antarctica,47SYY,snapshot_taxonomy_identity_passed,all_and_only_taxa_passing_frozen_sharded_v7_3_identity_gate
Nothofagus betuloides,V5FNY,snapshot_taxonomy_identity_passed,all_and_only_taxa_passing_frozen_sharded_v7_3_identity_gate
Eucalyptus globulus,3BPZ6,snapshot_taxonomy_identity_passed,all_and_only_taxa_passing_frozen_sharded_v7_3_identity_gate
Abies lasiocarpa,8KDX,snapshot_taxonomy_identity_passed,all_and_only_taxa_passing_frozen_sharded_v7_3_identity_gate
Eucalyptus delegatensis,6GSMS,snapshot_taxonomy_identity_passed,all_and_only_taxa_passing_frozen_sharded_v7_3_identity_gate
Larix laricina,6NYVX,snapshot_taxonomy_identity_passed,all_and_only_taxa_passing_frozen_sharded_v7_3_identity_gate
