current_accepted_species,historical_specieskey,key_index,historical_key_count,closure_state
Quercus petraea,4R5SK,1,2,successor_snapshot_species_concept_closure_passed
Sonneratia alba,4Y9T7,0,1,successor_snapshot_species_concept_closure_passed
Sparganium erectum,6Z7P2,0,2,successor_snapshot_species_concept_closure_passed
Sparganium erectum,7679536,1,2,successor_snapshot_species_concept_closure_passed
Tilia cordata,3152047,0,2,successor_snapshot_species_concept_closure_passed
Tilia cordata,56WPP,1,2,successor_snapshot_species_concept_closure_passed
Tsuga canadensis,2687182,0,2,successor_snapshot_species_concept_closure_passed
Tsuga canadensis,59HM6,1,2,successor_snapshot_species_concept_closure_passed
Tsuga mertensiana,59HMR,0,1,successor_snapshot_species_concept_closure_passed
Veronica arvensis,3172048,0,2,successor_snapshot_species_concept_closure_passed
Veronica arvensis,5B6FX,1,2,successor_snapshot_species_concept_closure_passed
Viburnum opulus,2888605,0,2,successor_snapshot_species_concept_closure_passed
Viburnum opulus,5BCCB,1,2,successor_snapshot_species_concept_closure_passed
Viola arvensis,5331235,0,3,successor_snapshot_species_concept_closure_passed
Viola arvensis,5BGDQ,1,3,successor_snapshot_species_concept_closure_passed
Viola arvensis,VJT9C,2,3,successor_snapshot_species_concept_closure_passed
Woodwardia fimbriata,5C3C6,0,1,successor_snapshot_species_concept_closure_passed
Xylocarpus granatum,5CKH9,0,1,successor_snapshot_species_concept_closure_passed
