current_accepted_species,historical_specieskey,key_index,historical_key_count,closure_state
Abies amabilis,63Z5D,0,1,successor_snapshot_species_concept_closure_passed
Abies grandis,2685361,0,2,successor_snapshot_species_concept_closure_passed
Abies grandis,8KCY,1,2,successor_snapshot_species_concept_closure_passed
Abies magnifica,63Z6H,0,1,successor_snapshot_species_concept_closure_passed
Abies procera,2685308,0,2,successor_snapshot_species_concept_closure_passed
Abies procera,8KFP,1,2,successor_snapshot_species_concept_closure_passed
Abies sibirica,2685654,0,2,successor_snapshot_species_concept_closure_passed
Abies sibirica,8KG5,1,2,successor_snapshot_species_concept_closure_passed
Acacia melanoxylon,2979000,0,2,successor_snapshot_species_concept_closure_passed
Acacia melanoxylon,8PN2,1,2,successor_snapshot_species_concept_closure_passed
Acorus calamus,2873769,0,2,successor_snapshot_species_concept_closure_passed
Acorus calamus,64MF2,1,2,successor_snapshot_species_concept_closure_passed
Aegiceras corniculatum,659BB,0,1,successor_snapshot_species_concept_closure_passed
Alisma plantago-aquatica,2865100,0,2,successor_snapshot_species_concept_closure_passed
Alisma plantago-aquatica,BSH4,1,2,successor_snapshot_species_concept_closure_passed
Ambrosia dumosa,CPP4,0,1,successor_snapshot_species_concept_closure_passed
Artemisia filifolia,GWBD,0,1,successor_snapshot_species_concept_closure_passed
Atriplex confertifolia,JLBV,0,1,successor_snapshot_species_concept_closure_passed
Atriplex lentiformis,688F4,0,1,successor_snapshot_species_concept_closure_passed
Butomus umbellatus,2864467,0,2,successor_snapshot_species_concept_closure_passed
Butomus umbellatus,NZ5R,1,2,successor_snapshot_species_concept_closure_passed
Carpinus betulus,2875818,0,2,successor_snapshot_species_concept_closure_passed
Carpinus betulus,RG23,1,2,successor_snapshot_species_concept_closure_passed
Ceriops decandra,SYC9,0,1,successor_snapshot_species_concept_closure_passed
Ceriops tagal,SYCK,0,1,successor_snapshot_species_concept_closure_passed
Chamaecyparis lawsoniana,2683866,0,2,successor_snapshot_species_concept_closure_passed
Chamaecyparis lawsoniana,TJJD,1,2,successor_snapshot_species_concept_closure_passed
Cornus sanguinea,3082234,0,2,successor_snapshot_species_concept_closure_passed
Cornus sanguinea,YGMF,1,2,successor_snapshot_species_concept_closure_passed
Ephedra nevadensis,6FNH6,0,1,successor_snapshot_species_concept_closure_passed
Eucalyptus baxteri,3BPNJ,0,2,successor_snapshot_species_concept_closure_passed
Eucalyptus baxteri,VLXXV,1,2,successor_snapshot_species_concept_closure_passed
Eucalyptus nitens,3BQ97,0,1,successor_snapshot_species_concept_closure_passed
Eucalyptus viminalis,3177112,0,2,successor_snapshot_species_concept_closure_passed
Eucalyptus viminalis,3BQMN,1,2,successor_snapshot_species_concept_closure_passed
Euonymus europaeus,3169131,0,2,successor_snapshot_species_concept_closure_passed
Euonymus europaeus,3CGVN,1,2,successor_snapshot_species_concept_closure_passed
Geranium dissectum,2890040,0,2,successor_snapshot_species_concept_closure_passed
Geranium dissectum,6KCC8,1,2,successor_snapshot_species_concept_closure_passed
Gutierrezia sarothrae,3HN2F,0,1,successor_snapshot_species_concept_closure_passed
Leersia oryzoides,2702905,0,2,successor_snapshot_species_concept_closure_passed
Leersia oryzoides,3SX78,1,2,successor_snapshot_species_concept_closure_passed
Ligustrum vulgare,3172300,0,2,successor_snapshot_species_concept_closure_passed
Ligustrum vulgare,6PYTF,1,2,successor_snapshot_species_concept_closure_passed
Lumnitzera racemosa,6435171,0,2,successor_snapshot_species_concept_closure_passed
Lumnitzera racemosa,6QQ94,1,2,successor_snapshot_species_concept_closure_passed
Onoclea sensibilis,2650903,0,2,successor_snapshot_species_concept_closure_passed
Onoclea sensibilis,49L7W,1,2,successor_snapshot_species_concept_closure_passed
Picea obovata,4HQ46,0,2,successor_snapshot_species_concept_closure_passed
Picea obovata,5284765,1,2,successor_snapshot_species_concept_closure_passed
Pinus flexilis,4J273,0,1,successor_snapshot_species_concept_closure_passed
Pinus ponderosa,4J2F3,0,1,successor_snapshot_species_concept_closure_passed
Pinus sibirica,4J2HD,0,2,successor_snapshot_species_concept_closure_passed
Pinus sibirica,5284667,1,2,successor_snapshot_species_concept_closure_passed
Pinus strobus,4J2HY,0,2,successor_snapshot_species_concept_closure_passed
Pinus strobus,5284982,1,2,successor_snapshot_species_concept_closure_passed
Polystichum setiferum,4044517,0,3,successor_snapshot_species_concept_closure_passed
Polystichum setiferum,BB5QH,1,3,successor_snapshot_species_concept_closure_passed
Polystichum setiferum,VL7J6,2,3,successor_snapshot_species_concept_closure_passed
Populus tremula,3040249,0,2,successor_snapshot_species_concept_closure_passed
Populus tremula,4LVQY,1,2,successor_snapshot_species_concept_closure_passed
Quercus petraea,2880130,0,2,successor_snapshot_species_concept_closure_passed
