witness_id,site_name,source_doi,latitude,longitude,uncertainty_m,coordinate_source_type,moth_evidence,admitted,exclusion_reason
JOS2_W01,Delamar Valley,10.1111/jeb.12134,37.5249,-114.8158,100,primary_literature_text,"moth microsatellites=5; moth ovipositor=3",true,
JOS2_W02,Eightmile Valley,10.1111/jeb.12134,37.3740,-115.0304,100,primary_literature_text,"moth microsatellites=6; moth ovipositor=5",true,
JOS2_W03,Sheep Range,10.1111/jeb.12134,37.1783,-115.1852,100,primary_literature_text,"moth ovipositor=5",true,
JOS2_W04,Sheep Pass,10.1111/jeb.12134,36.8292,-115.2988,100,primary_literature_text,"moth microsatellites=5",true,
JOS2_W05,Sawmill Road,10.1111/jeb.12134,36.7068,-115.0423,100,primary_literature_text,"moth ovipositor=4",true,
JOS2_W06,Shivwitts,10.1111/jeb.12134,37.0638,-113.8969,100,primary_literature_text,"moth microsatellites=10; moth ovipositor=4",true,
JOS2_W07,Yucca Forest,10.1111/jeb.12134,36.4781,-115.0577,100,primary_literature_text,"moth microsatellites=6",true,
JOS2_W08,Indian Ridge,10.1111/jeb.12134,36.5007,-115.6897,100,primary_literature_text,"moth microsatellites=4; moth ovipositor=1",true,
JOS2_W09,Kyle Canyon,10.1111/jeb.12134,36.2667,-115.5150,100,primary_literature_text,"moth microsatellites=4",true,
JOS2_W10,Kingston Mountains,10.1111/jeb.12134,35.7673,-115.8414,100,primary_literature_text,"moth microsatellites=11; moth ovipositor=2",true,
JOS2_W11,Cima,10.1111/jeb.12134,35.3638,-115.5887,100,primary_literature_text,"moth microsatellites=5",true,
JOS2_W12,Searchlight,10.1111/jeb.12134,35.5201,-115.1405,100,primary_literature_text,"moth microsatellites=4; moth ovipositor=2",true,
JOS2_W13,Dolan Springs,10.1111/jeb.12134,35.5982,-114.2600,100,primary_literature_text,"moth microsatellites=2; moth ovipositor=1",true,
JOS2_W14,Alamo Crossing,10.1111/jeb.12134,34.8062,-114.0738,100,primary_literature_text,"moth ovipositor=8",true,
JOS2_W15,Wikieup,10.1111/jeb.12134,34.6803,-113.6921,100,primary_literature_text,"moth microsatellites=18",true,
JOS2_W16,Joshua Tree Parkway,10.1111/jeb.12134,34.2258,-113.0736,100,primary_literature_text,"moth microsatellites=8",true,
JOS2_W17,Alamo Lake,10.1111/jeb.12134,34.1998,-113.3933,100,primary_literature_text,"moth microsatellites=4; moth ovipositor=2",true,
