witness_id,site_name,source_doi,latitude,longitude,uncertainty_m,coordinate_source_type,moth_evidence,admitted,exclusion_reason
JOS_W01,Joshua Tree,10.1111/jeb.12134,34.1368,-116.1604,100,primary_literature_text,"moth microsatellites=10; moth ovipositor=2",true,
JOS_W02,San Andreas,10.1111/jeb.12134,34.4762,-116.8069,100,primary_literature_text,"moth ovipositor=3",true,
JOS_W03,Freemont Peak,10.1111/jeb.12134,34.2363,-117.4855,100,primary_literature_text,"moth microsatellites=5",true,
JOS_W04,Kramer Hills,10.1111/jeb.12134,34.9030,-117.4853,100,primary_literature_text,"moth microsatellites=17; moth ovipositor=5",true,
JOS_W05,Fossil Bed Road,10.1111/jeb.12134,35.0033,-117.0339,100,primary_literature_text,"moth microsatellites=6; moth ovipositor=5",true,
JOS_W06,Lancaster-Palmdale,10.1111/jeb.12134,34.7733,-118.5039,100,primary_literature_text,"moth microsatellites=8; moth ovipositor=1",true,
JOS_W07,Cactus Flats,10.1111/jeb.12134,36.2113,-117.9352,100,primary_literature_text,"moth microsatellites=5; moth ovipositor=6",true,
JOS_W08,Trona,10.1111/jeb.12134,35.4757,-117.5869,100,primary_literature_text,"moth microsatellites=4; moth ovipositor=2",true,
JOS_W09,Eureka Valley,10.1111/jeb.12134,37.3790,-117.8277,100,primary_literature_text,"moth microsatellites=8; moth ovipositor=9",true,
JOS_W10,Gold Point,10.1111/jeb.12134,37.3589,-117.3697,100,primary_literature_text,"moth microsatellites=5; moth ovipositor=1",true,
JOS_W11,Clayton Valley,10.1111/jeb.12134,37.5833,-117.7333,100,primary_literature_text,"moth microsatellites=5; moth ovipositor=1",true,
JOS_W12,Montezuma Peak,10.1111/jeb.12134,37.7407,-117.2616,100,primary_literature_text,"moth microsatellites=3; moth ovipositor=1",true,
JOS_W13,Nevada Test Site,10.1111/jeb.12134,36.9599,-116.0681,100,primary_literature_text,"moth microsatellites=8; moth ovipositor=4",true,
JOS_W14,Nevada Test Site II,10.1111/jeb.12134,36.9794,-115.9895,100,primary_literature_text,"moth microsatellites=6; moth ovipositor=3",true,
